 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Japón,49,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"18,1518245540422",Provisional,Trimestral
Jordania,50,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,004344523689643",Provisional,Trimestral
Kuwait,51,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,033487787173234",Provisional,Trimestral
Liberia,53,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,027724141388538",Provisional,Trimestral
Lituania,55,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-13,7247436905991",Provisional,Trimestral
Líbano,52,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,000978538164102",Provisional,Trimestral
Malasia,57,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,080768378200454",Provisional,Trimestral
México,58,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-203,139390448402",Provisional,Trimestral
Nicaragua,59,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,00181663150763",Provisional,Trimestral
Noruega,60,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,184752217283553",Provisional,Trimestral
Nueva Zelanda,61,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,00633135303399",Provisional,Trimestral
Otros Países,81,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"4,16857484541288",Provisional,Trimestral
Panamá,63,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"127,239493886708",Provisional,Trimestral
Paraguay,64,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"3,0029781252588",Provisional,Trimestral
Países Bajos,62,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"63,6268031825083",Provisional,Trimestral
Perú,65,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-23,1710889539016",Provisional,Trimestral
Portugal,66,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"17,6334927609699",Provisional,Trimestral
Puerto Rico,67,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,163691578344482",Provisional,Trimestral
República Dominicana,69,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,176911654962045",Provisional,Trimestral
Singapur,70,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"2,00070629052761",Provisional,Trimestral
Sri Lanka,71,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-7,83861797180701",Provisional,Trimestral
Suecia,72,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"14,0619190573372",Provisional,Trimestral
Suiza,73,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"54,6913078105453",Provisional,Trimestral
Tailandia,75,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,061829149757585",Provisional,Trimestral
Total paises,82,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"843,988612931504",Provisional,Trimestral
Ucrania,77,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,000023079606807",Provisional,Trimestral
Uruguay,78,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-9,53965714453083",Provisional,Trimestral
Venezuela,79,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,510548157530887",Provisional,Trimestral
Afganistán,1,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"22,3172311640028",Provisional,Trimestral
Anguilla,4,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-12,972566616003",Provisional,Trimestral
Antillas Holandesas,5,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,076720898665133",Provisional,Trimestral
Argentina,6,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,051348364760236",Provisional,Trimestral
Aruba,7,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,157320520368548",Provisional,Trimestral
Australia,8,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"4,81033372709761",Provisional,Trimestral
Austria,9,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"12,0455399035825",Provisional,Trimestral
Bahamas,10,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"1,34421520919826",Provisional,Trimestral
Barbados,11,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"19,4930853374053",Provisional,Trimestral
Belice,13,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"1,23287995660941",Provisional,Trimestral
Bermudas,14,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-103,708338967157",Provisional,Trimestral
Bolivia,15,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,003842790245038",Provisional,Trimestral
Brasil,16,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"31,9620322719932",Provisional,Trimestral
Bélgica,12,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"6,26991623389629",Provisional,Trimestral
Canadá,17,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"43,0435695699459",Provisional,Trimestral
Chile,18,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"68,7622505266048",Provisional,Trimestral
China,19,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"24,2620220387757",Provisional,Trimestral
Chipre,21,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,011125459829027",Provisional,Trimestral
Corea del Sur,20,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,882140080691451",Provisional,Trimestral
Costa Rica,22,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"4,95369661685",Provisional,Trimestral
Cuba,23,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,051843588837284",Provisional,Trimestral
Curazao,24,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,44033757614726",Provisional,Trimestral
Dinamarca,25,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,557431379604583",Provisional,Trimestral
Ecuador,26,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"9,22547884389201",Provisional,Trimestral
El Salvador,27,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,887104853049655",Provisional,Trimestral
Escocia,28,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"1,31280436001615",Provisional,Trimestral
España,29,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"423,354342216419",Provisional,Trimestral
Estados Unidos,30,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"203,306484972688",Provisional,Trimestral
Finlandia,31,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,003516017463119",Provisional,Trimestral
Francia,32,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"34,771231456259",Provisional,Trimestral
Gibraltar,33,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,017750865615045",Provisional,Trimestral
Grecia,34,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,000218954014019",Provisional,Trimestral
Guatemala,35,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,314735443006798",Provisional,Trimestral
Honduras,36,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,246815707128449",Provisional,Trimestral
Hong Kong,37,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"6,69303236772037",Provisional,Trimestral
Hungría,38,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-1,99908278284474",Provisional,Trimestral
India,41,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"3,7207584560661",Provisional,Trimestral
Inglaterra,42,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"39,5105849936979",Provisional,Trimestral
Irlanda⁴,45,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"16,4908356436999",Provisional,Trimestral
Irán,44,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Isla de Man,46,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,00054930721812",Provisional,Trimestral
Islas Caimán,39,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"50,9369392316012",Provisional,Trimestral
Islas Vírgenes Británicas,40,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"75,8170743776757",Provisional,Trimestral
Israel,47,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,572975460757385",Provisional,Trimestral
Italia,48,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"11,2230631034273",Provisional,Trimestral
Japón,49,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"5,2800427240396",Provisional,Trimestral
Jordania,50,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,00276252308311",Provisional,Trimestral
Kuwait,51,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,000310165951889",Provisional,Trimestral
Liberia,53,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,017628763477069",Provisional,Trimestral
Lituania,55,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"58,4359868585254",Provisional,Trimestral
Líbano,52,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,000622216486581",Provisional,Trimestral
Malasia,57,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-0,009385943906941",Provisional,Trimestral
México,58,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"29,4705720387913",Provisional,Trimestral
Nicaragua,59,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,001155129268899",Provisional,Trimestral
Noruega,60,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,026731379421647",Provisional,Trimestral
Nueva Zelanda,61,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,053921498334908",Provisional,Trimestral
Otros Países,81,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"3,16857484541288",Provisional,Trimestral
Panamá,63,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"91,6281583097526",Provisional,Trimestral
Paraguay,64,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,000469346748074",Provisional,Trimestral
Países Bajos,62,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-8,71256714329959",Provisional,Trimestral
Perú,65,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"16,2205993850813",Provisional,Trimestral
Portugal,66,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"18,3172578861981",Provisional,Trimestral
Puerto Rico,67,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,481230473496254",Provisional,Trimestral
República Dominicana,69,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,077712882212192",Provisional,Trimestral
Singapur,70,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,132775752105461",Provisional,Trimestral
Sri Lanka,71,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"-25,088142078213",Provisional,Trimestral
Suecia,72,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"14,9299702539281",Provisional,Trimestral
Suiza,73,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"134,296338604134",Provisional,Trimestral
Tailandia,75,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,050389694983164",Provisional,Trimestral
Total paises,82,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"1371,38102997016",Provisional,Trimestral
Ucrania,77,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,000014675474484",Provisional,Trimestral
Uruguay,78,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"33,5658577084061",Provisional,Trimestral
Venezuela,79,2,2020-2,2020,Países,Inversión Extranjera Directa en Colombia,"0,265864666033279",Provisional,Trimestral
Afganistán,1,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"12,8315219802325",Provisional,Trimestral
Anguilla,4,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"-36,378737554725",Provisional,Trimestral
Antillas Holandesas,5,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,03361896422463",Provisional,Trimestral
Argentina,6,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,771266480970589",Provisional,Trimestral
Aruba,7,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,14122666331598",Provisional,Trimestral
Australia,8,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"1,06779597552827",Provisional,Trimestral
Austria,9,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"10,4756279831553",Provisional,Trimestral
Bahamas,10,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"1,34480102992234",Provisional,Trimestral
Barbados,11,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"31,285187508961",Provisional,Trimestral
Belice,13,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,942662648406458",Provisional,Trimestral
Bermudas,14,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"-89,9005074255512",Provisional,Trimestral
Bolivia,15,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"-0,002720626470458",Provisional,Trimestral
Brasil,16,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"34,6004925279139",Provisional,Trimestral
Bélgica,12,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"4,88808941055244",Provisional,Trimestral
Canadá,17,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"299,444419570252",Provisional,Trimestral
Chile,18,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"53,0362385020753",Provisional,Trimestral
China,19,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"18,9507148384892",Provisional,Trimestral
Chipre,21,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"-3,24952926867325",Provisional,Trimestral
Corea del Sur,20,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,942774491496905",Provisional,Trimestral
Costa Rica,22,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"15,7182992473582",Provisional,Trimestral
Cuba,23,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"-0,121885457247041",Provisional,Trimestral
Curazao,24,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"-0,463321090161283",Provisional,Trimestral
Dinamarca,25,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,462299199084324",Provisional,Trimestral
Ecuador,26,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"3,65655389788069",Provisional,Trimestral
El Salvador,27,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"4,21646318617299",Provisional,Trimestral
Escocia,28,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"4,98995077532772",Provisional,Trimestral
España,29,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"677,963130181664",Provisional,Trimestral
Estados Unidos,30,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"614,646366278592",Provisional,Trimestral
Finlandia,31,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"0,008266237075638",Provisional,Trimestral
Francia,32,1,2020-1,2020,Países,Inversión Extranjera Directa en Colombia,"30,212890640251",Provisional,Trimestral
